coolant,stator_winding,u_d,stator_tooth,motor_speed,i_d,i_q,pm,stator_yoke,ambient,torque,profile_id
18.72414017,19.77575874,-122.1641464,18.8215313,4499.74707,-189.0029602,83.55445862,20.85695648,18.74156952,19.4731617,79.99798584,21
18.7401104,19.97566414,-122.3124695,18.9847393,4499.806641,-189.0029602,83.85464478,20.8785553,18.74442673,19.5124836,80.31549835,21
18.7378521,19.89382935,-122.3548508,18.9058876,4499.780762,-189.0029602,83.9603653,20.88642883,18.72107887,19.48776245,79.98143005,21
18.74077034,20.08029938,-122.2401962,19.05365562,4498.124023,-190.0637817,83.77371216,20.89416122,18.76083755,19.53451538,80.2304306,21
18.23400497,19.06415558,-2.123464108,18.2827549,176.3563843,-3.891305447,15.3892746,21.03241158,18.41770172,22.79982758,9.336613655,13
18.25727081,19.06772232,-3.51798296,18.28468132,196.9761047,-7.961898327,33.12672806,21.03477478,18.3868103,22.81497383,22.78134727,13
18.21489334,19.06917953,0.399426609,18.28208923,22.48923492,-2.241616249,3.821559906,21.0363884,18.42771912,22.71567917,-0.435703099,13
18.73303413,20.36414719,-122.2006836,19.0881691,4498.63916,-189.6642609,83.70115662,21.03696251,18.77033043,19.5521183,80.13986969,21
18.36051941,19.08768082,-10.67160702,18.28722382,244.8541412,-39.62080383,122.0037994,21.04045105,18.38552094,22.67754745,95.24025726,13
18.28350258,19.07240868,-5.266881466,18.29417038,212.031723,-15.02468681,54.65577698,21.041996,18.3729229,22.78804016,39.72328949,13
18.29943085,19.09932137,-7.014812469,18.30013466,222.7669525,-22.90505791,76.42323303,21.04244804,18.37602997,22.75123405,57.55591202,13
18.32796478,19.14033318,-10.91345501,18.28472328,246.287735,-40.72190475,125.0131226,21.04585266,18.39719772,22.61748886,97.73615265,13
18.37891197,19.09830284,-10.33296776,18.29279327,242.837616,-38.08024216,117.8053894,21.0470562,18.38285065,22.72054672,91.76512146,13
18.26455688,19.16726875,-11.21585751,18.30935478,248.1105499,-42.08114624,128.7130585,21.0471611,18.36837769,22.5249939,100.7842178,13
18.20357895,19.08958435,0.775643051,18.27574158,-0.002492041,-1.99952817,1.098469377,21.04819489,18.34924126,22.72338676,0.234816223,13
18.36970711,19.06534195,-9.2054739,18.29624176,236.0309753,-32.93379974,103.766243,21.0484333,18.37385368,22.71860695,80.15705109,13
18.33459091,19.09893608,-8.287566185,18.2948513,230.5070038,-28.74752235,92.35238647,21.04846764,18.36559105,22.73528862,70.72084045,13
18.18418503,19.09255791,0.752096236,18.27992249,-7.78E-06,-1.999394178,1.098106742,21.04847908,18.36015511,22.74234581,0.222863987,13
18.37916374,19.08755875,-9.861001015,18.30117989,239.9684448,-35.93037033,111.9450531,21.04873276,18.38647461,22.71426582,86.91890717,13
18.29375076,19.17135048,-11.08861923,18.2892971,247.3691406,-41.51363373,127.1686554,21.04965401,18.37777519,22.56134415,99.51862335,13
18.19347,19.08992577,0.833729446,18.27513885,0.001334973,-2.00033474,1.096702099,21.05058479,18.36874771,22.75156021,0.26093331,13
18.18514252,19.08631325,0.810663939,18.28225327,0.000720192,-2.000009298,1.097958446,21.05484009,18.37447929,22.69465828,0.268791944,13
18.21614456,19.09223938,0.843056619,18.27664757,-0.001307871,-1.999619603,1.09742415,21.0555172,18.35289574,22.67236519,0.258909851,13
18.20096588,19.07442474,0.791256368,18.28085518,0.00091645,-2.00069809,1.096571565,21.05767822,18.4118309,22.67155266,0.244049057,13
18.24138832,19.2029705,-11.30102444,18.31479645,248.6329498,-42.48495865,129.8204498,21.06048584,18.37536049,22.5344696,101.6950684,13
18.28138542,19.09672356,0.820019186,18.28507423,-0.003428099,-1.999281406,1.09593153,21.06051636,18.35996056,22.75183296,0.245598003,13
18.23040771,19.09581947,0.81257093,18.27729988,-0.000530118,-2.000169277,1.09634614,21.06550026,18.34528923,22.64436722,0.24124454,13
18.31254387,19.10746002,0.798523605,18.28655243,0.002470866,-1.998908043,1.095590591,21.06569672,18.38096428,22.81949425,0.215281159,13
18.33443642,19.10209656,0.850326061,18.28708458,0.001917499,-1.997881889,1.094834805,21.06653786,18.37155342,22.82381248,0.250325888,13
18.24811363,19.09017181,0.810707867,18.2802887,0.003724773,-1.998718739,1.097647667,21.06693649,18.34916306,22.67357826,0.229329497,13
18.22493553,19.19845581,-11.3616209,18.33481407,249.0298309,-42.7767868,130.6133728,21.06896591,18.37169075,22.58201218,102.3352432,13
18.20411301,19.24947166,-11.43629265,18.31934357,249.4734497,-43.13314438,131.5890656,21.07456779,18.40884018,22.76973534,103.1373978,13
